2024-11-02 13:40:40,Invalid command: ls'
2024-11-02 13:44:01,cd C:/Users/user/Desktop/DZKonfig
2024-11-02 13:44:45,tree -a
2024-11-02 13:45:20,help
2024-11-02 13:52:19,help
2024-11-02 13:55:28,help
2024-11-02 13:58:35,help
2024-11-02 13:59:36,help
2024-11-02 14:00:49,head AAAAAAA.txt
2024-11-02 14:08:43,mv AAAAAAA.txt 11212
2024-11-09 09:55:33,help
2024-11-09 09:58:49,Invalid command: ды
2024-11-09 10:07:11,mv 123.txt 122.txt
2024-11-09 10:55:42,mv 122.txt 12
2024-11-09 13:56:08,cd C:/Users/user/Desktop/DZKonfig
2024-11-09 13:56:46,tree -a
2024-11-09 14:07:21,help
2024-11-13 22:54:57,help
2024-11-13 22:55:32,cd C:/Users/User/Desktop/DZKonfig
2024-11-13 23:01:35,cd C:/Users/user/Desktop/DZKonfig
2024-11-16 11:14:58,help
2024-11-16 11:15:43,help
2024-11-16 11:15:51,clear
2024-11-16 11:15:58,help
2024-11-16 11:18:05,cd ..
2024-11-16 11:18:33,help
2024-11-16 11:18:59,tree -a
2024-11-16 11:21:02,mv 111.txt C:/Users/user/Desktop/DZKonfig/12
2024-11-16 12:54:15,cd ..
2024-11-16 12:55:46,help
2024-11-16 12:55:54,tree -a
2024-11-16 12:56:23,head 111.txt
2024-12-25 17:14:05,help
2024-12-25 17:18:46,Invalid command: about
